What can assist in evaluating an application for migration to the cloud? (Choose two.),AWS Trusted Advisor,AWS Professional Services,AWS Systems Manager,AWS Partner Network (APN),AWS Secrets Manager,BD
Which AWS service helps users meet contractual and regulatory compliance requirements for data security by using dedicated hardware appliances within the AWS Cloud?,AWS Secrets Manager,AWS CloudHSM,AWS Key Management Service (AWS KMS),AWS Directory Service,,B
Under the AWS shared responsibility model the customer manages which of the following? (Choose two.),Decommissioning of physical storage devices,Security group and ACL configuration,Patch management of an Amazon RDS instance operating system,Controlling physical access to data centers,Patch management of an Amazon EC2 instance operating system,BE
Which AWS service is suitable for an event-driven workload?,Amazon EC2,AWS Elastic Beanstalk,AWS Lambda,Amazon Lumberyard,,C
What is a value proposition of the AWS Cloud?,AWS is responsible for security in the AWS Cloud,No long-term contract is required,Provision new servers in days,AWS manages user applications in the AWS Cloud,,B
What is a characteristic of Amazon S3 cross-region replication?,Both source and destination S3 buckets must have versioning disabled,The source and destination S3 buckets cannot be in different AWS Regions,S3 buckets configured for cross-region replication can be owned by a single AWS account or by different accounts,The source S3 bucket owner must have the source and destination AWS Regions disabled for their account,,C
What is a user responsible for when running an application in the AWS Cloud?   - A. Managing physical hardware,Updating the underlying hypervisor,Providing a list of users approved for data center access,Managing application software updates,,,D
A company that does business online needs to quickly deliver new functionality in an iterative manner minimizing the time to market.  Which AWS Cloud feature can provide this?,Elasticity,High availability,Agility,Reliability,,C
Which features or services can be used to monitor costs and expenses for an AWS account? (Choose two.),AWS Cost and Usage report,AWS product pages,AWS Simple Monthly Calculator,Billing alerts and Amazon CloudWatch alarms,AWS Price List API,AD
Amazon Route 53 enables users to:,encrypt data in transit,register DNS domain names,generate and manage SSL certificates,establish a dedicated network connection to AWS,,B.
Which AWS service helps identify malicious or unauthorized activities in AWS accounts and workloads?,Amazon Rekognition,AWS Trusted Advisor,Amazon GuardDuty,Amazon CloudWatch,,C
A company wants to try a third-party ecommerce solution before deciding to use it long term.  Which AWS service or tool will support this effort?,AWS Marketplace,AWS Partner Network (APN),AWS Managed Services,AWS Service Catalog,,A
Which AWS service is a managed NoSQL database?,Amazon Redshift,Amazon DynamoDB,Amazon Aurora,Amazon RDS for MariaDB,,B
Which AWS service should be used to create a billing alarm?,AWS Trusted Advisor,AWS CloudTrail,Amazon CloudWatch,Amazon QuickSight,,C
A company is hosting a web application in a Docker container on Amazon EC2.  AWS is responsible for which of the following tasks?,Scaling the web application and services developed with Docker,Provisioning or scheduling containers to run on clusters and maintain their availability,Performing hardware maintenance in the AWS facilities that run the AWS Cloud,Managing the guest operating system including updates and security patches,,C
Users are reporting latency when connecting to a website with a global customer base.  Which AWS service will improve the customer experience by reducing latency?,Amazon CloudFront,AWS Direct Connect,Amazon EC2 Auto Scaling,AWS Transit Gateway,,A
Which actions represent best practices for using AWS IAM? (Choose two.),Configure a strong password policy,Share the security credentials among users of AWS accounts who are in the same Region,Use access keys to log in to the AWS Management Console,Rotate access keys on a regular basis,Avoid using IAM roles to delegate permissions,AD
Which AWS feature or service can be used to capture information about incoming and outgoing traffic in an AWS VPC infrastructure?,AWS Config,VPC Flow Logs,AWS Trusted Advisor,AWS CloudTrail,,B
A company wants to use an AWS service to monitor the health of application endpoints with the ability to route traffic to healthy regional endpoints to improve application availability.  Which service will support these requirements?,Amazon Inspector,Amazon CloudWatch,AWS Global Accelerator,Amazon CloudFront,,C
According to the AWS Well-Architected Framework what change management steps should be taken to achieve reliability in the AWS Cloud? (Choose two.),Use AWS Config to generate an inventory of AWS resources,Use service limits to prevent users from creating or making changes to AWS resources,Use AWS CloudTrail to record AWS API calls into an auditable log file,Use AWS Certificate Manager to whitelist approved AWS resources and services,Use Amazon GuardDuty to validate configuration changes made to AWS resources,Ac
Which service can be used to monitor and receive alerts for AWS account root user AWS Management Console sign-in events?,Amazon CloudWatch,AWS Config,AWS Trusted Advisor,AWS IAM,,A
Which design principle should be considered when architecting in the AWS Cloud?,Think of servers as non-disposable resources,Use synchronous integration of services,Design loosely coupled components,Implement the least permissive rules for security groups,,C
Which AWS services can be used to move data from on-premises data centers to AWS? (Choose two.),AWS Snowball,AWS Lambda,AWS ElastiCache,AWS Database Migration Service (AWS DMS),Amazon API Gateway,AD
A batch workload takes 5 hours to finish on an Amazon EC2 instance. The amount of data to be processed doubles monthly and the processing time is proportional.  What is the best cloud architecture to address this consistently growing demand?,Run the application on a bigger EC2 instance size.,Switch to an EC2 instance family that better matches batch requirements.,Distribute the application across multiple EC2 instances and run the workload in parallel.,Run the application on a bare metal EC2 instance.,,C
